Atlapetes tibialis_Yellow-thighed Brushfinch
Atlapetes tricolor_strnádlik tmavý
Atrichornis clamosus_skrabiar krikľavý
Atrichornis rufescens_skrabiar hrdzavý
Attagis gayi_výšinár hrdzavobruchý
Atthis ellioti_čmeľovec vínovohrdlý
Atthis heloisa_čmeľovec elf
Atticora fasciata_lastovička bielopása
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_volavec bielooký
Attila cinnamomeus_volavec škoricový
Attila citriniventris_volavec plavý
Attila phoenicurus_volavec hrdzavochvostý
Attila rufus_volavec sivohlavý
Attila spadiceus_volavec spevavý
Attila torridus_volavec jantárový
Augastes lumachella_jagavička kapucňová
Augastes scutatus_jagavička hyacintová
Aulacorhynchus albivitta_tukaník andský
Aulacorhynchus atrogularis_tukaník čiernohrdlý
Aulacorhynchus caeruleogularis_tukaník modrohrdlý
Aulacorhynchus coeruleicinctis_tukaník sivozobý
Aulacorhynchus derbianus_tukaník malachitový
Aulacorhynchus haematopygus_tukaník veľký
Aulacorhynchus prasinus_tukaník smaragdový
Aulacorhynchus sulcatus_tukaník vrúbkozobý
Auriparus flaviceps_žltohlávok sýkorčí
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_lístiar olivový
Automolus lammi_lístiar pernambucký
Automolus leucophthalmus_lístiar bielooký
Automolus melanopezus_lístiar ohnivooký
Automolus ochrolaemus_lístiar potočný
Automolus paraensis_lístiar plavohnedý
Automolus rufipileatus_lístiar hrdzavý
Automolus subulatus_Striped Woodhaunter
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_kochláč hnedochrbtý
Aythya americana_chochlačka žltooká
Aythya collaris_chochlačka obojková
Aythya ferina_chochlačka sivá
Aythya fuligula_chochlačka vrkočatá
Aythya marila_chochlačka morská
Aythya nyroca_chochlačka bielooká
Aythya valisineria_chochlačka veľká
Baeolophus atricristatus_sýkorka čiernochochlatá
Baeolophus bicolor_sýkorka dvojfarebná
Baeolophus inornatus_sýkorka dubová
Baeolophus ridgwayi_sýkorka borievková
Baeolophus wollweberi_sýkorka ohlávková
Baeopogon indicator_afrobyl pásochvostý
Balearica regulorum_žurav kráľovský
Bambusicola fytchii_bambusiar horský
Bambusicola sonorivox_bambusiar taiwanský
Bambusicola thoracicus_bambusiar sivočelý
Bangsia aureocincta_tangara pôvabná
Bangsia edwardsi_tangara džungľová
Bangsia melanochlamys_tangara čierno-zlatá
Bangsia rothschildi_tangara žltoprsá
Barnardius zonarius_Australian Ringneck
Bartramia longicauda_bartrámia dlhochvostá
Baryphthengus martii_momot škoricový
Baryphthengus ruficapillus_momot hrdzavohlavý
Basileuterus belli_horárik hnedolíci
Basileuterus culicivorus_horárik komárožravý
Basileuterus lachrymosus_horárik vejárochvostý
Basileuterus melanogenys_horárik čiernolíci
Basileuterus melanotis_horárik čepčekový
Basileuterus rufifrons_horárik hrdzavohlavý
Basileuterus trifasciatus_horárik trojpásy
Basileuterus tristriatus_horárik hôrny
Batara cinerea_batara obria
Bathmocercus rufus_carašník maskový
Batis capensis_strakošík kapský
Batis crypta_strakošík tmavý
Batis erlangeri_strakošík pláštikový
Batis molitor_strakošík bielobruchý
Batis orientalis_strakošík sivohlavý
Batis perkeo_strakošík akáciový
Batis pririt_strakošík pririt
Batrachostomus affinis_žaboústka malajská
Batrachostomus auritus_žaboústka ušatá
Batrachostomus cornutus_žaboústka rožkatá
Batrachostomus hodgsoni_žaboústka dlhochvostá
Batrachostomus javensis_žaboústka jávska
Batrachostomus moniliger_žaboústka malá
Batrachostomus septimus_Philippine Frogmouth
Batrachostomus stellatus_žaboústka šupinatá
Berenicornis comatus_zobákorožec strapatý
Berlepschia rikeri_palmárik amazonský
Bernieria madagascariensis_tetraka dlhozobá
Bias musicus_pláštenkár čepcový
Biatas nigropectus_batara čiernoprsá
Bleda canicapillus_afrobyl mravčí
Bleda notatus_afrobyl žltkavý
Bleda syndactylus_afrobyl fúzatý
