Artamus personatus_黑眼燕鵙
Artamus superciliosus_白眉燕鵙
Artemisiospiza belli_貝爾氏艾草猛雀鵐
Artemisiospiza nevadensis_艾草漠鹀
Artisornis metopias_紅帽林棲鶯
Artisornis moreaui_長嘴縫葉鶯
Arundinax aedon_Thick-billed Warbler
Arundinicola leucocephala_白头沼泽霸鹟
Asemospiza fuliginosa_Sooty Grassquit
Asemospiza obscura_Dull-colored Grassquit
Asio clamator_Striped Owl
Asio flammeus_短耳鴞
Asio otus_長耳鴞
Asio stygius_乌耳鸮
Aspatha gularis_蓝喉翠鴗
Asthenes anthoides_安地斯卡納雀
Asthenes arequipae_暗翅卡纳灶鸟
Asthenes baeri_短嘴卡納雀
Asthenes coryi_赭額薊尾雀
Asthenes dorbignyi_乳白胸卡納雀
Asthenes flammulata_多紋卡納雀
Asthenes fuliginosa_白頦薊尾雀
Asthenes griseomurina_灰棘尾雀
Asthenes harterti_黑喉棘尾雀
Asthenes helleri_普納高原薊尾雀
Asthenes heterura_灌欉卡納雀
Asthenes huancavelicae_淡尾卡納雀
Asthenes hudsoni_赫德森卡納雀
Asthenes maculicauda_亂尾卡納雀
Asthenes modesta_高山卡納雀
Asthenes moreirae_巴西棘尾雀
Asthenes ottonis_鏽額卡納雀
Asthenes palpebralis_眼環薊尾雀
Asthenes perijana_珀里哈薊尾雀
Asthenes pudibunda_峡谷卡纳灶鸟
Asthenes pyrrholeuca_小卡納雀
Asthenes sclateri_科尔卡纳灶鸟
Asthenes urubambensis_絨額卡納雀
Asthenes virgata_久寧卡納雀
Asthenes wyatti_紋背卡納雀
Atalotriccus pilaris_淡眼侏霸鶲
Atelornis crossleyi_栗头地三宝鸟
Atelornis pittoides_地三宝鸟
Athene blewitti_Forest Owlet
Athene brama_横斑腹小鸮
Athene cunicularia_穴小鸮
Athene noctua_縱紋腹小鴞
Athene superciliaris_White-browed Owl
Atimastillas flavicollis_黃喉鶇鵯
Atlapetes albinucha_白頸藪雀
Atlapetes albofrenatus_白须薮雀
Atlapetes crassus_乔科薮雀
Atlapetes flaviceps_橄綠頭藪雀
Atlapetes fulviceps_暗黃頭藪雀
Atlapetes fuscoolivaceus_乌头薮雀
Atlapetes latinuchus_棕枕薮雀
Atlapetes leucopis_白翅缘薮雀
Atlapetes leucopterus_白翅薮雀
Atlapetes melanocephalus_哥伦比亚薮雀
Atlapetes melanolaemus_灰耳薮雀
Atlapetes pallidiceps_淡頭藪雀
Atlapetes pallidinucha_黃頸藪雀
Atlapetes personatus_栗头薮雀
Atlapetes pileatus_棕頂藪雀
Atlapetes rufigenis_棕耳薮雀
Atlapetes rufinucha_玻利維亞藪雀
Atlapetes schistaceus_灰蓝薮雀
Atlapetes seebohmi_棕冠薮雀
Atlapetes semirufus_赭胸薮雀
Atlapetes tibialis_Yellow-thighed Brushfinch
Atlapetes tricolor_三色薮雀
Atrichornis clamosus_嘈雜藪鳥
Atrichornis rufescens_棕薮鸟
Attagis gayi_棕腹籽鷸
Atthis ellioti_瑰喉蜂鸟
Atthis heloisa_吸蜜蜂鳥
Atticora fasciata_白斑燕
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_暗頂阿蒂霸鶲
Attila cinnamomeus_桂紅阿蒂霸鶲
Attila citriniventris_桔黄腹阿蒂霸鹟
Attila phoenicurus_揭尾阿蒂霸鹟
Attila rufus_灰头阿蒂霸鹟
Attila spadiceus_亮腰阿蒂霸鶲
Attila torridus_赭色阿蒂霸鶲
Augastes lumachella_妆脸蜂鸟
Augastes scutatus_紫蓝妆脸蜂鸟
Aulacorhynchus albivitta_白喉小鵎鵼
Aulacorhynchus atrogularis_黑喉小鵎鵼
Aulacorhynchus caeruleogularis_蓝喉巨嘴鸟
Aulacorhynchus coeruleicinctis_蓝斑巨嘴鸟
Aulacorhynchus derbianus_栗斑巨嘴鸟
Aulacorhynchus haematopygus_緋腰小鵎鵼
Aulacorhynchus prasinus_綠寶小鵎鵼
Aulacorhynchus sulcatus_沟嘴巨嘴鸟
Auriparus flaviceps_黃頭金雀
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_橄綠背拾葉雀
Automolus lammi_伯州拾叶雀
Automolus leucophthalmus_白眼拾叶雀
Automolus melanopezus_褐腰拾叶雀
Automolus ochrolaemus_淡黃喉拾葉雀
Automolus paraensis_帕拉拾叶雀
Automolus rufipileatus_栗冠拾叶雀
Automolus subulatus_Striped Woodhaunter
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_凤头鹃隼
Aythya americana_美洲潛鴨
Aythya collaris_环颈潜鸭
Aythya ferina_紅頭潛鴨
Aythya fuligula_凤头潜鸭
Aythya marila_斑背潛鴨
Aythya nyroca_白眼潛鴨
Aythya valisineria_帆背潛鴨
Baeolophus atricristatus_黑冠凤头山雀
Baeolophus bicolor_簇山雀
Baeolophus inornatus_純色山雀
Baeolophus ridgwayi_杜松山雀
Baeolophus wollweberi_白眉冠山雀
Baeopogon indicator_白尾鵯
Balearica regulorum_灰冕鹤
Bambusicola fytchii_棕胸竹雞
Bambusicola sonorivox_Taiwan Bamboo-Partridge
Bambusicola thoracicus_灰胸竹鸡
Bangsia aureocincta_金环唐纳雀
Bangsia edwardsi_苔背唐纳雀
Bangsia melanochlamys_黑金唐纳雀
Bangsia rothschildi_金胸唐纳雀
Barnardius zonarius_Australian Ringneck
Bartramia longicauda_高原鷸
Baryphthengus martii_棕翠鴗
Baryphthengus ruficapillus_棕顶翠鴗
Basileuterus belli_金眉王森莺
Basileuterus culicivorus_金冠王森莺
Basileuterus lachrymosus_扇尾森莺
Basileuterus melanogenys_黑頰王森鶯
Basileuterus melanotis_Costa Rican Warbler
Basileuterus rufifrons_棕頂王森鶯
Basileuterus trifasciatus_三斑王森莺
Basileuterus tristriatus_三縱紋王森鶯
Batara cinerea_巨蚁鵙
Bathmocercus rufus_黑脸棕莺
Batis capensis_南非噴背鶲
Batis crypta_黑噴背鶲
Batis erlangeri_西方黑頭噴背鶲
Batis molitor_点颏喷背鹟
Batis orientalis_灰头蓬背鹟
Batis perkeo_侏噴背鶲
Batis pririt_南非蓬背鹟
Batrachostomus affinis_星喉蟆口鸱
Batrachostomus auritus_大蟆口鴟
Batrachostomus cornutus_巽他蟆口鴟〔栗頰蟆口鴟〕
Batrachostomus hodgsoni_黑頂蟆口鴟
Batrachostomus javensis_爪哇蟆口鴟
Batrachostomus moniliger_領蟆口鴟
Batrachostomus septimus_Philippine Frogmouth
Batrachostomus stellatus_鱗腹蟆口鴟
Berenicornis comatus_白冠犀鸟
Berlepschia rikeri_尖尾棕榈雀
Bernieria madagascariensis_長嘴旋葉鵯
Bias musicus_黑白噴背鶲
Biatas nigropectus_白须蚁鵙
Bleda canicapillus_灰头须鹎
Bleda notatus_小须鹎
Bleda syndactylus_普通鬚鵯
