Batrachostomus hodgsoni_lelkoun dlouhoocasý
Batrachostomus javensis_lelkoun tečkovaný
Batrachostomus moniliger_lelkoun srílanský
Batrachostomus septimus_Philippine Frogmouth
Batrachostomus stellatus_lelkoun pralesní
Berenicornis comatus_zoborožec vlasatý
Berlepschia rikeri_hrnčiřík palmový
Bernieria madagascariensis_bulbulec madagaskarský
Bias musicus_lesknáček zpěvný
Biatas nigropectus_mravenčík bělovousý
Bleda canicapillus_bulbulec guinejský
Bleda notatus_Lesser Bristlebill
Bleda syndactylus_bulbulec obecný
Blythipicus pyrrhotis_datel žlutozobý
Blythipicus rubiginosus_datel tmavý
Boissonneaua flavescens_kolibřík žlutoocasý
Boissonneaua jardini_kolibřík hyacintový
Boissonneaua matthewsii_kolibřík peruánský
Bolborhynchus ferrugineifrons_papoušíček zelený
Bolborhynchus lineola_papoušíček pruhovaný
Bolborhynchus orbygnesius_papoušíček andský
Bolemoreus frenatus_medosavka uzdičková
